session_id,timestamp,dimension,stint_id
20260412_175523_fa92,2026-04-12 18:04:16,future,51
20260412_175523_fa92,2026-04-12 18:04:21,future,51
20260412_175523_fa92,2026-04-12 18:04:21,future,51
20260412_175523_fa92,2026-04-12 18:04:24,past,52
20260412_175523_fa92,2026-04-12 18:04:30,present,53
20260412_175523_fa92,2026-04-12 18:04:35,present,53
20260412_175523_fa92,2026-04-12 18:04:36,future,54
20260412_175523_fa92,2026-04-12 18:04:41,future,54
20260412_175523_fa92,2026-04-12 18:04:42,future,54
20260412_175523_fa92,2026-04-12 18:04:42,future,54
20260412_175523_fa92,2026-04-12 18:04:42,future,54
20260412_175523_fa92,2026-04-12 18:04:43,future,54
20260412_175523_fa92,2026-04-12 18:04:43,future,54
20260412_175523_fa92,2026-04-12 18:04:44,future,54
20260412_175523_fa92,2026-04-12 18:04:44,future,54
20260412_175523_fa92,2026-04-12 18:04:45,future,54
20260412_175523_fa92,2026-04-12 18:04:45,future,54
20260412_175523_fa92,2026-04-12 18:04:46,future,54
20260412_175523_fa92,2026-04-12 18:04:46,future,54
20260412_175523_fa92,2026-04-12 18:04:46,future,54
20260412_175523_fa92,2026-04-12 18:04:46,future,54
20260412_175523_fa92,2026-04-12 18:04:47,future,54
20260412_175523_fa92,2026-04-12 18:04:47,future,54
20260412_175523_fa92,2026-04-12 18:04:48,future,54
20260412_175523_fa92,2026-04-12 18:04:48,future,54
20260412_175523_fa92,2026-04-12 18:04:48,future,54
20260412_175523_fa92,2026-04-12 18:04:48,future,54
20260412_175523_fa92,2026-04-12 18:04:49,future,54
20260412_175523_fa92,2026-04-12 18:04:49,future,54
20260412_175523_fa92,2026-04-12 18:04:49,future,54
20260412_175523_fa92,2026-04-12 18:04:50,future,54
20260412_175523_fa92,2026-04-12 18:04:50,future,54
20260412_175523_fa92,2026-04-12 18:04:50,future,54
20260412_175523_fa92,2026-04-12 18:04:51,future,54
20260412_175523_fa92,2026-04-12 18:04:51,future,54
20260412_175523_fa92,2026-04-12 18:04:51,future,54
20260412_175523_fa92,2026-04-12 18:04:51,future,54
20260412_175523_fa92,2026-04-12 18:04:51,future,54
20260412_175523_fa92,2026-04-12 18:04:52,future,54
20260412_175523_fa92,2026-04-12 18:04:52,future,54
20260412_175523_fa92,2026-04-12 18:04:53,future,54
20260412_175523_fa92,2026-04-12 18:04:53,future,54
20260412_175523_fa92,2026-04-12 18:04:55,future,54
20260412_175523_fa92,2026-04-12 18:04:55,future,54
20260412_175523_fa92,2026-04-12 18:04:57,future,54
20260412_175523_fa92,2026-04-12 18:04:58,future,54
20260412_175523_fa92,2026-04-12 18:04:58,future,54
20260412_175523_fa92,2026-04-12 18:04:58,future,54
20260412_175523_fa92,2026-04-12 18:04:59,future,54
20260412_175523_fa92,2026-04-12 18:04:59,future,54
20260412_175523_fa92,2026-04-12 18:04:59,future,54
20260412_175523_fa92,2026-04-12 18:04:59,future,54
20260412_175523_fa92,2026-04-12 18:05:00,future,54
20260412_175523_fa92,2026-04-12 18:05:00,future,54
20260412_175523_fa92,2026-04-12 18:05:00,future,54
20260412_175523_fa92,2026-04-12 18:05:01,future,54
20260412_175523_fa92,2026-04-12 18:05:02,future,54
20260412_175523_fa92,2026-04-12 18:05:03,future,54
20260412_175523_fa92,2026-04-12 18:05:03,future,54
20260412_175523_fa92,2026-04-12 18:05:04,future,54
20260412_175523_fa92,2026-04-12 18:05:04,future,54
20260412_175523_fa92,2026-04-12 18:05:04,future,54
20260412_175523_fa92,2026-04-12 18:05:05,future,54
20260412_175523_fa92,2026-04-12 18:05:06,future,54
20260412_175523_fa92,2026-04-12 18:05:06,future,54
20260412_175523_fa92,2026-04-12 18:05:09,future,54
20260412_175523_fa92,2026-04-12 18:05:09,future,54
20260412_175523_fa92,2026-04-12 18:05:09,future,54
20260412_175523_fa92,2026-04-12 18:05:09,future,54
20260412_175523_fa92,2026-04-12 18:05:10,future,54
20260412_175523_fa92,2026-04-12 18:05:10,future,54
20260412_175523_fa92,2026-04-12 18:05:10,future,54
20260412_175523_fa92,2026-04-12 18:05:10,future,54
20260412_175523_fa92,2026-04-12 18:05:11,future,54
20260412_175523_fa92,2026-04-12 18:05:16,future,54
20260412_175523_fa92,2026-04-12 18:05:16,future,54
20260412_175523_fa92,2026-04-12 18:05:17,past,55
20260412_175523_fa92,2026-04-12 18:05:23,present,56
20260412_175523_fa92,2026-04-12 18:05:24,future,57
