session_id,timestamp,click_x,click_y,zone,dimension
20260412_175523_fa92,2026-04-12 17:55:28,471,371,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:29,424,417,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:33,531,437,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:34,291,388,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:36,326,373,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:37,749,184,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:38,751,178,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:41,464,445,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:43,466,425,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:45,60,514,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:58,531,416,Zone 1,present
20260412_175523_fa92,2026-04-12 17:55:59,418,241,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:02,337,428,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:03,335,418,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:04,347,429,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:05,333,429,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:06,213,548,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:06,252,531,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:08,554,41,Zone 1,past
20260412_175523_fa92,2026-04-12 17:56:09,620,46,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:10,694,41,Zone 1,future
20260412_175523_fa92,2026-04-12 17:56:11,613,50,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:14,108,323,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:15,113,327,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:16,708,223,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:19,450,340,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:20,366,324,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:21,428,387,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:24,537,382,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:25,521,348,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:26,524,342,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:27,658,142,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:28,682,34,Zone 1,future
20260412_175523_fa92,2026-04-12 17:56:32,538,58,Zone 1,past
20260412_175523_fa92,2026-04-12 17:56:33,609,48,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:35,37,560,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:37,388,189,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:38,402,219,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:38,403,218,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:39,530,46,Zone 3,past
20260412_175523_fa92,2026-04-12 17:56:41,717,312,Zone 3,past
20260412_175523_fa92,2026-04-12 17:56:43,71,317,Zone 3,past
20260412_175523_fa92,2026-04-12 17:56:44,184,344,Zone 3,past
20260412_175523_fa92,2026-04-12 17:56:45,185,344,Zone 3,past
20260412_175523_fa92,2026-04-12 17:56:46,631,51,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:47,468,203,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:48,450,539,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:49,371,218,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:50,355,399,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:50,354,394,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:51,354,394,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:52,414,377,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:53,470,355,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:53,268,532,Zone 3,present
20260412_175523_fa92,2026-04-12 17:56:54,679,23,Zone 3,future
20260412_175523_fa92,2026-04-12 17:56:56,135,131,Zone 3,future
20260412_175523_fa92,2026-04-12 17:57:00,605,48,Zone 3,present
20260412_175523_fa92,2026-04-12 17:57:00,545,41,Zone 3,past
20260412_175523_fa92,2026-04-12 17:57:02,753,502,Zone 3,past
20260412_175523_fa92,2026-04-12 17:57:04,391,544,Zone 1,past
20260412_175523_fa92,2026-04-12 17:57:06,482,538,Zone 1,past
